way,name,way_id,node_id,highway,lat,lng,bearing
"<overpy.Way id=665507905 nodes=[6226697804, 6229003249]>",n/a,665507905,6226697804,residential,1.2796499,103.8488302,32.334907864125114
"<overpy.Way id=665507905 nodes=[6226697804, 6229003249]>",n/a,665507905,6229003249,residential,1.2799416,103.8490149,
"<overpy.Way id=615134253 nodes=[6229003248, 5817301661]>",n/a,615134253,6229003248,residential,1.2801781,103.8491627,32.53066489532597
"<overpy.Way id=615134253 nodes=[6229003248, 5817301661]>",n/a,615134253,5817301661,residential,1.2803129,103.8492487,
"<overpy.Way id=665257561 nodes=[6226697805, 6226697804]>",n/a,665257561,6226697805,residential,1.2795608,103.8487739,32.28128695661155
"<overpy.Way id=665257561 nodes=[6226697805, 6226697804]>",n/a,665257561,6226697804,residential,1.2796499,103.8488302,
"<overpy.Way id=665257562 nodes=[621083492, 6353450975, 6226697805]>",n/a,665257562,621083492,residential,1.2790452,103.8484485,32.27471066309755
"<overpy.Way id=665257562 nodes=[621083492, 6353450975, 6226697805]>",n/a,665257562,6353450975,residential,1.2790843,103.8484732,32.24793026739508
"<overpy.Way id=665257562 nodes=[621083492, 6353450975, 6226697805]>",n/a,665257562,6226697805,residential,1.2795608,103.8487739,
"<overpy.Way id=665507903 nodes=[6229003249, 6229003248]>",n/a,665507903,6229003249,residential,1.2799416,103.8490149,31.996778993726082
"<overpy.Way id=665507903 nodes=[6229003249, 6229003248]>",n/a,665507903,6229003248,residential,1.2801781,103.8491627,
"<overpy.Way id=117041259 nodes=[1318512958, 1318512936, 1318512955, 7028101350, 1318512953, 1318512980]>",n/a,117041259,1318512958,service,1.2754822,103.8460990,23.926309720456914
"<overpy.Way id=117041259 nodes=[1318512958, 1318512936, 1318512955, 7028101350, 1318512953, 1318512980]>",n/a,117041259,1318512936,service,1.2755854,103.8461448,39.69260030452773
"<overpy.Way id=117041259 nodes=[1318512958, 1318512936, 1318512955, 7028101350, 1318512953, 1318512980]>",n/a,117041259,1318512955,service,1.2759635,103.8464587,74.09206915124446
"<overpy.Way id=117041259 nodes=[1318512958, 1318512936, 1318512955, 7028101350, 1318512953, 1318512980]>",n/a,117041259,7028101350,service,1.2759792,103.8465138,96.561809332096
"<overpy.Way id=117041259 nodes=[1318512958, 1318512936, 1318512955, 7028101350, 1318512953, 1318512980]>",n/a,117041259,1318512953,service,1.2759769,103.8465338,105.47729987132277
"<overpy.Way id=117041259 nodes=[1318512958, 1318512936, 1318512955, 7028101350, 1318512953, 1318512980]>",n/a,117041259,1318512980,service,1.2759542,103.8466158,
"<overpy.Way id=117041263 nodes=[1318513003, 1318512920, 6365357164, 1318512973]>",n/a,117041263,1318513003,service,1.2754298,103.8466431,187.47549873061047
"<overpy.Way id=117041263 nodes=[1318513003, 1318512920, 6365357164, 1318512973]>",n/a,117041263,1318512920,service,1.2754138,103.8466410,223.30822978789521
"<overpy.Way id=117041263 nodes=[1318513003, 1318512920, 6365357164, 1318512973]>",n/a,117041263,6365357164,service,1.2753963,103.8466245,223.0837650977635
